𝜆,FI*,t1*,t2*,t3*
5.65588396196196186,.267108687740106731e-3,.178663092217036870e-1,.955866491773795304e-2,.385412038478304521e-2
5.70791328328328351,.283253751701600129e-3,.183335176151557394e-1,.975206414861930215e-2,.392185375999357187e-2
5.75805317517517512,.299483508300044544e-3,.187878477662747345e-1,.993892523159171752e-2,.398713877512435130e-2
5.80358500050050008,.314803766026858862e-3,.192037338176639476e-1,.101089608022788165e-1,.404641315532232055e-2
5.85772674474474453,.333756106696099541e-3,.197021497671662424e-1,.103114983445663656e-1,.411685720635006792e-2
5.90359190390390420,.350447117408177839e-3,.201274959123927087e-1,.104833023512305203e-1,.417647814111290518e-2
5.95694398748748721,.370609526447677107e-3,.206256519249167457e-1,.106833308480261367e-1,.424574260424352354e-2
6.00416962162162182,.389137349556840299e-3,.210694367271328648e-1,.108604789616568789e-1,.430695125617780623e-2
6.05598362712712746,.410211965241143097e-3,.215591715986324858e-1,.110548531629724688e-1,.437397126313069685e-2
6.10532281331331372,.431016198067866627e-3,.220280504784491835e-1,.112398801373448619e-1,.443763436430959831e-2
6.15680307807807825,.453498914380344811e-3,.225196744776461656e-1,.114327875360748111e-1,.450387251343316482e-2
6.20407803153153115,.474850938848939749e-3,.229730843899925916e-1,.116097302664312785e-1,.456450872990063310e-2
6.25507045545545548,.498647716871486501e-3,.234640038930533645e-1,.118002864993145256e-1,.462968382682930370e-2
6.30803725275275262,.524215503587276556e-3,.239757092774153073e-1,.119978034361494425e-1,.469710378928887926e-2
6.35414500550550532,.547183212805267788e-3,.244224082467170041e-1,.121693245053848282e-1,.475554000472728968e-2
6.40394264164164184,.572737672559947108e-3,.249059434901997521e-1,.123540608657084269e-1,.481836557633729626e-2
6.45538847247247283,.599959564247262256e-3,.254064227425655625e-1,.125442746563848573e-1,.488293319362054744e-2
6.50571818118118106,.627403206892297467e-3,.258967177741861905e-1,.127296553862862229e-1,.494574398701803919e-2
6.55441476226226261,.654724273939235094e-3,.263715025691544994e-1,.129082816689229714e-1,.500615904414162659e-2
6.60848401301301269,.685947246206553961e-3,.268988539613168390e-1,.131056779750725882e-1,.507280158567565299e-2
6.65706763963963954,.714800658291835024e-3,.273726226661315380e-1,.132821301131686165e-1,.513226688719609688e-2
6.70894103103103134,.746442484492242380e-3,.278781274280006756e-1,.134694924388114763e-1,.519530018021991530e-2
6.75594603353353396,.775858835133443232e-3,.283356613387679077e-1,.136382779248371139e-1,.525198860829585463e-2
6.80733491691691661,.808827020736383232e-3,.288350476091554196e-1,.138216521796621240e-1,.531347534477783282e-2
6.85568785135135172,.840616526313316581e-3,.293039239225284173e-1,.139930265955393960e-1,.537084347086501466e-2
6.90623060010010015,.874639717535571405e-3,.297927529504514593e-1,.141708836038103182e-1,.543028510444377218e-2
6.95564537537537575,.908684382166565960e-3,.302691762766808606e-1,.143434411999946113e-1,.548786195916111958e-2
7.00737806556556553,.945148003129087739e-3,.307661160269998082e-1,.145226132670060668e-1,.554754846755921814e-2
7.05720279479479462,.981055855435463342e-3,.312427234117220280e-1,.146936799148044053e-1,.560444238719461172e-2
7.10815577677677712,.101857060302981933e-2,.317278529372729406e-1,.148670344067999977e-1,.566200502190859160e-2
7.15868684234234198,.105655963187826509e-2,.322064680094991118e-1,.150373057045855487e-1,.571845339203248728e-2
7.20511964364364399,.109214927898701702e-2,.326438790994761086e-1,.151922673239289034e-1,.576974812090446602e-2
7.25833687387387361,.113373211618306830e-2,.331421634104030263e-1,.153680421413460010e-1,.582784176795200608e-2
7.30593499899899879,.117163243751450220e-2,.335848883697994136e-1,.155235493767960087e-1,.587915624028130263e-2
7.35668452802802797,.121276763434904878e-2,.340536544684088768e-1,.156875212212049739e-1,.593318117009690015e-2
7.40525830280280317,.125282954878309840e-2,.344989730144178650e-1,.158426434214978124e-1,.598421151865680470e-2
7.45919323723723693,.129809012287595551e-2,.349893831840479841e-1,.160127442810991012e-1,.604008033581791230e-2
7.50589692742742720,.133793062087941101e-2,.354104154980860383e-1,.161581725895883106e-1,.608777082982735456e-2
7.55890603353353363,.138386375395186702e-2,.358840144500645192e-1,.163210859348058984e-1,.614111225006048252e-2
7.60721807907907888,.142637373101778698e-2,.363115173596009061e-1,.164675309632056691e-1,.618898562739441781e-2
7.66006386436436415,.147356263062501107e-2,.367744394630358240e-1,.166254528360431260e-1,.624052883604469741e-2
7.70566083983983940,.151484377028588790e-2,.371697731504121998e-1,.167597751923201331e-1,.628430135637418792e-2
7.75759047247247224,.156247898189038276e-2,.376152372978612662e-1,.169105285692134934e-1,.633335220195258095e-2
7.80775193393393430,.160910274757167975e-2,.380405529899777856e-1,.170538644287225628e-1,.637991327672294932e-2
7.85788062612612581,.165627741880743627e-2,.384605534551277495e-1,.171948302526371902e-1,.642563016068503894e-2
7.90782490390390347,.170383837047671143e-2,.388738626302017956e-1,.173329835665704569e-1,.647036158692922483e-2
7.95580571921921909,.175003859814322135e-2,.392659637621447163e-1,.174635227143033686e-1,.651255919793605406e-2
8.00767425125125065,.180052370967274445e-2,.396842398139767571e-1,.176022055567178239e-1,.655731428679580917e-2
8.05710872322322302,.184914389403239795e-2,.400773591149309258e-1,.177320032926596115e-1,.659912984276761309e-2
8.10913617717717727,.190082452359125668e-2,.404851517805395397e-1,.178660799481923059e-1,.664224817293373668e-2
8.15623355155155139,.194804057003715751e-2,.408489467406784601e-1,.179851964093689677e-1,.668048863199806851e-2
8.20828496696696774,.200068021983163457e-2,.412449867356256133e-1,.181143310711536359e-1,.672187172181646676e-2
8.25814115265265336,.205152901908414774e-2,.416183046674097959e-1,.182355316201833970e-1,.676063995268871409e-2
8.30787598698698737,.210265161821178480e-2,.419847618104432219e-1,.183539982779294814e-1,.679846334117828553e-2
8.35982421421421407,.215645095175691012e-2,.423610979160758891e-1,.184751241722352876e-1,.683706079151394797e-2
8.40767042792792729,.220634498740505816e-2,.427018380569123418e-1,.185843147534978104e-1,.687178718353529446e-2
8.45667149549549535,.225776410243650220e-2,.430448990725692954e-1,.186937776545228092e-1,.690653272187785518e-2
8.51077449649649687,.231489007323789665e-2,.434166753602190855e-1,.188118538922173520e-1,.694393292726657851e-2
8.55976033233233302,.236691080802362225e-2,.437468954159211595e-1,.189162385785006763e-1,.697692433182597362e-2
8.60985752502502422,.242038287156481208e-2,.440782777629707342e-1,.190205092244144155e-1,.700980861970297055e-2
8.66080507957958012,.247502179667831619e-2,.444086807127245797e-1,.191239756800317511e-1,.704236529924531524e-2
8.70763579629629625,.252545695852116406e-2,.447064810922511852e-1,.192167936485263084e-1,.707150517714762433e-2
8.75755582382382336,.257942198318581980e-2,.450176731430423638e-1,.193133249298751281e-1,.710174069377556005e-2
8.80709585685685603,.263316282760630779e-2,.453200958227202161e-1,.194066681777000268e-1,.713090567921817638e-2
8.86008829329329295,.269083147022327728e-2,.456365180425007816e-1,.195038187393800980e-1,.716118037241739863e-2
8.90685182282282284,.274185906317851247e-2,.459096615845953834e-1,.195872415378969857e-1,.718710796618080017e-2
8.96080722822822828,.280087157742077127e-2,.462177171929877978e-1,.196808160415664346e-1,.721610947634237273e-2
9.00949782182182268,.285423178012564598e-2,.464891875246917982e-1,.197628080671194001e-1,.724144584026870618e-2
9.05767461911911909,.290710895040181393e-2,.467517034317397398e-1,.198416574556155266e-1,.726573995042917222e-2
9.10948015315315374,.296403732084719396e-2,.470272424560200034e-1,.199239325028673295e-1,.729100977918611601e-2
9.16149525125125130,.302124586809369164e-2,.472968734054822273e-1,.200039366123940590e-1,.731549803073893324e-2
9.20882128878878881,.307332231925493268e-2,.475361005501747508e-1,.200744772382433039e-1,.733701544673747656e-2
9.25907943843843917,.312863285144119067e-2,.477838102870877940e-1,.201470569575980911e-1,.735907647060513904e-2
9.30812648048047997,.318260035762972602e-2,.480192802384001374e-1,.202155901664759011e-1,.737982862966302024e-2
9.36129399149149144,.324107012451628962e-2,.482675685078104294e-1,.202873391054247156e-1,.740146523483261199e-2
9.40729867067067005,.329162002548255648e-2,.484765908126458187e-1,.203473065740753453e-1,.741947281196557017e-2
9.46013671721721749,.334961092672765495e-2,.487100417351382375e-1,.204137827257787306e-1,.743934624268387766e-2
9.50980725875875876,.340404227829709883e-2,.489230856064994182e-1,.204739578667053820e-1,.745724805290226469e-2
9.55899803703703732,.345785193769513645e-2,.491279898929368117e-1,.205313626145673493e-1,.747424012640293071e-2
9.60822794694694693,.351159311693413200e-2,.493270419338624963e-1,.205866547790253610e-1,.749051998164490355e-2
9.65843933883883921,.356627520897831582e-2,.495239121797004800e-1,.206408495484829528e-1,.750638540175271960e-2
9.71166257307307390,.362407596796274385e-2,.497258683986445335e-1,.206958981054921054e-1,.752239796475741296e-2
9.76046306706706623,.367691238211907950e-2,.499050171301818543e-1,.207442305772627261e-1,.753636175551825223e-2
9.80863542092092011,.372890367587636789e-2,.500762595784425210e-1,.207899562355950210e-1,.754948087598748905e-2
9.86013087437437363,.378428569156388480e-2,.502532216675062315e-1,.208366830285070248e-1,.756278424251690881e-2
9.91151422672672666,.383933072346893250e-2,.504235874774043857e-1,.208811195776015986e-1,.757532669800854014e-2
9.95763383683683756,.388854083389591609e-2,.505712735174370515e-1,.209191671967436169e-1,.758597049216262146e-2
10.0122658408408416,.394657929318852508e-2,.507398918568082100e-1,.209620205031382720e-1,.759783867187817635e-2
10.0579793683683683,.399491990710344139e-2,.508757708491082150e-1,.209960562613783451e-1,.760716161023852061e-2
