𝜆,FI*,t1*
15.6681495755755762,.433943817641422869e-1,.299778442574234749e-1
15.7141775145145139,.434356355008671813e-1,.299055896746046497e-1
15.7659940720720719,.434813504630994913e-1,.298244734100419663e-1
15.8180233933933927,.435264903187691510e-1,.297432666749858805e-1
15.8681632852852861,.435692791329057721e-1,.296652413043956217e-1
15.9136951106106110,.436075394033336242e-1,.295945862184845629e-1
15.9678368548548555,.436523075317226811e-1,.295108197459965638e-1
16.0137020140140152,.436896233400815640e-1,.294400721566869944e-1
16.0670540975975982,.437323391912342596e-1,.293580244177850981e-1
16.1142797317317310,.437695390456362896e-1,.292856229209145051e-1
16.1660937372372366,.438097035843057273e-1,.292064314842532431e-1
16.2154329234234247,.438473276763552272e-1,.291312618732455994e-1
16.2669131881881874,.438859478233036282e-1,.290530808162683674e-1
16.3141881416416403,.439208493239973546e-1,.289815129109046651e-1
16.3651805655655664,.439578995572265582e-1,.289045619667323908e-1
16.4181473628628645,.439957399921296274e-1,.288249019194647370e-1
16.4642551156156145,.440281540227461729e-1,.287557830306877059e-1
16.5140527517517519,.440626205082696731e-1,.286813695093994583e-1
16.5654985825825811,.440976462384900861e-1,.286047524059190837e-1
16.6158282912912902,.441313492575300878e-1,.285300536369112179e-1
16.6645248723723718,.441634371622970159e-1,.284580207862202422e-1
16.7185941231231219,.441984740520051309e-1,.283783205134155968e-1
16.7671777497497487,.442294339984075219e-1,.283069583695929917e-1
16.8190511411411414,.442619535142466172e-1,.282310282956796631e-1
16.8660561436436431,.442909496471055875e-1,.281624607073106721e-1
16.9174450270270285,.443221453705159515e-1,.280877560178875232e-1
16.9657979614614618,.443510241609710171e-1,.280177111937463044e-1
17.0163407102102084,.443807273857799028e-1,.279447501744317511e-1
17.0657554854854858,.444092974761112411e-1,.278736709174807092e-1
17.1174881756756747,.444387175331825701e-1,.277995265326196860e-1
17.1673129049049038,.444665860935892221e-1,.277283772336272410e-1
17.2182658868868863,.444946200059751773e-1,.276558815873481044e-1
17.2687969524524512,.445219641363243032e-1,.275842510040096717e-1
17.3152297537537549,.445466950509208898e-1,.275186626308237987e-1
17.3684469839839828,.445745810403691475e-1,.274437652764662997e-1
17.4160451091091097,.445991142634763194e-1,.273770245920041122e-1
17.4667946381381398,.446248539138668979e-1,.273061236144558871e-1
17.5153684129129132,.446490924153536556e-1,.272385123159161191e-1
17.5693033473473470,.446755579044413459e-1,.271637252104648189e-1
17.6160070375375390,.446981000514658292e-1,.270992087065777681e-1
17.6690161436436419,.447232707500661089e-1,.270262558728173626e-1
17.7173281891891889,.447458329879948588e-1,.269600209694415213e-1
17.7701739744744742,.447701063766349355e-1,.268878473535544525e-1
17.8157709499499504,.447907145094085732e-1,.268258061870332611e-1
17.8677005825825823,.448138120847065488e-1,.267554106745207625e-1
17.9178620440440426,.448357523042887882e-1,.266876769691127037e-1
17.9679907362362350,.448573199957858423e-1,.266202473464616542e-1
18.0179350140140144,.448784579588753368e-1,.265533238691648896e-1
18.0659158293293309,.448984407560901605e-1,.264892737325023754e-1
18.1177843613613625,.449196910974469371e-1,.264203007007719169e-1
18.1672188333333331,.449396096777471138e-1,.263548221276340040e-1
18.2192462872872873,.449602262021695648e-1,.262861803153568614e-1
18.2663436616616615,.449785872624770475e-1,.262242825438901393e-1
18.3183950770770778,.449985513902706816e-1,.261561383769169861e-1
18.3682512627627617,.450173555279195642e-1,.260911280737334411e-1
18.4179860970970957,.450358089107373918e-1,.260265289766578450e-1
18.4699343243243241,.450547635840760838e-1,.259593242566651082e-1
18.5177805380380391,.450719369595911079e-1,.258976692152385612e-1
18.5667816056056054,.450892465378673821e-1,.258347670224231309e-1
18.6208846066066052,.451080365427436666e-1,.257655982293701936e-1
18.6698704424424413,.451247627761607248e-1,.257032269251039336e-1
18.7199676351351343,.451415914375291119e-1,.256396910343967763e-1
18.7709151896896884,.451584230687368526e-1,.255753358201558784e-1
18.8177459064064081,.451736471782913096e-1,.255164108271924497e-1
18.8676659339339352,.451896187556320508e-1,.254538406783866959e-1
18.9172059669669679,.452052108769996214e-1,.253919930835410819e-1
18.9701984034034048,.452216099036301111e-1,.253261062378052244e-1
19.0169619329329329,.452358450668495851e-1,.252681958868195590e-1
19.0709173383383366,.452519988210017543e-1,.252016488046699037e-1
19.1196079319319310,.452663314235994402e-1,.251418423128900413e-1
19.1677847292292292,.452802878227634015e-1,.250828970058170689e-1
19.2195902632632638,.452950497616143796e-1,.250197665106339680e-1
19.2716053613613596,.453096194862333615e-1,.249566453384217554e-1
19.3189313988989007,.453226600350456268e-1,.248994441657168289e-1
19.3691895485485475,.453362871032364778e-1,.248389379965127943e-1
19.4182365905905918,.453493693888570304e-1,.247801264563611463e-1
19.4714041016016033,.453633132550874812e-1,.247166372310484370e-1
19.5174087807807801,.453751824151890984e-1,.246619215791633352e-1
19.5702468273273276,.453885937242739859e-1,.245993298730896870e-1
19.6199173688688688,.454009892112089281e-1,.245407344821364504e-1
19.6691081471471456,.454130659602488482e-1,.244829374090341015e-1
19.7183380570570570,.454249572185089906e-1,.244253250762462501e-1
19.7685494489489493,.454368877388528353e-1,.243668010868496702e-1
19.8217726831831840,.454493194054855498e-1,.243050269483838267e-1
19.8705731771771781,.454605272510264710e-1,.242486206876368522e-1
19.9187455310310320,.454714147552186462e-1,.241931597660308348e-1
19.9702409844844837,.454828629801483364e-1,.241341130309398293e-1
20.0216243368368367,.454940934561054652e-1,.240754411931668813e-1
20.0677439469469476,.455040121002903072e-1,.240229885279375603e-1
20.1223759509509499,.455155671844050119e-1,.239611091624927497e-1
20.1680894784784783,.455250766233625398e-1,.239095427719806936e-1
20.2215565835835847,.455360178801354001e-1,.238494735051456401e-1
20.2725857557557561,.455462811171292933e-1,.237923870336156466e-1
20.3181487282282269,.455552995325201049e-1,.237416160686300740e-1
20.3693890560560575,.455652804079798371e-1,.236847438578789739e-1
20.4209690380380380,.455751577909203967e-1,.236277343398823801e-1
20.4723038693693695,.455848220616808450e-1,.235712335563488563e-1
20.5198978293293308,.455936364130777247e-1,.235190611532515650e-1
20.5691786181181193,.456026178511171471e-1,.234652527920636740e-1
20.6201448803803800,.456117534571521613e-1,.234098312918770528e-1
20.6709476931931917,.456207074771768570e-1,.233548164691982744e-1
20.7232046306306295,.456297618147819412e-1,.232984644257745871e-1
20.7692325695695708,.456376079931616191e-1,.232490281550527152e-1
20.8210491271271287,.456462988482539342e-1,.231935963061199561e-1
20.8730784484484495,.456548764446067998e-1,.231381720962668957e-1
20.9232183403403411,.456630037004823741e-1,.230849826699323808e-1
20.9687501656656643,.456702678611499505e-1,.230368696147967809e-1
21.0228919099099087,.456787640909583278e-1,.229798904867387389e-1
21.0687570690690684,.456858431018280983e-1,.229318180104408700e-1
21.1221091526526514,.456939433086604729e-1,.228761238463779625e-1
21.1693347867867878,.457009947238398440e-1,.228270266004920869e-1
21.2211487922922935,.457086051986760056e-1,.227733758921970786e-1
21.2704879784784779,.457157315696684052e-1,.227224976123542345e-1
21.3219682432432442,.457230438606879355e-1,.226696287451526209e-1
21.3692431966966971,.457296496844846467e-1,.226212732056881236e-1
21.4202356206206197,.457366597307127185e-1,.225693231377441239e-1
21.4732024179179177,.457438166684381725e-1,.225155890532907944e-1
21.5193101706706713,.457499451871835397e-1,.224690012020392835e-1
21.5691078068068052,.457564596454387226e-1,.224188805307701765e-1
21.6205536376376379,.457630775749573449e-1,.223673132132905829e-1
21.6708833463463471,.457694434676538878e-1,.223170724149999028e-1
21.7195799274274286,.457755023694713103e-1,.222686565474409966e-1
21.7736491781781787,.457821159654625762e-1,.222151222563586152e-1
21.8222328048048055,.457879581400502597e-1,.221672187809387085e-1
21.8741061961961947,.457940927387762778e-1,.221162790157731111e-1
21.9211111986987000,.457995610632736042e-1,.220703041690867990e-1
21.9725000820820817,.458054425127936773e-1,.220202409195366343e-1
